baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,
sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
1,0.0349646,5.916,45.7634,1337.55,1416.88,208.477,100,1,0.034496,3.476,19.5468,158.269,1407.72,148.79,10.125,0,0.27077,7.204,28.2567,49.1342,1396.19,146.977,0.625,1,0.0349233,2.056,8.74419,80.1374,1390.16,193.732,1.41522,1,0.0349874,5.928,23.9459,65.305,1405.31,158.635,1.45031,0,0.183755,7.204,37.8501,253.701,1403.95,156.377,4.23977,
1,0.0349845,6.256,47.9524,1299.03,1421.87,188.292,100,0,0.0401396,7.204,32.1226,139.153,1402.92,170.728,10.125,0,0.239258,7.204,28.7332,48.1536,1402.54,172.882,0.625,0,0.0436345,7.204,33.0519,64.7032,1406.86,195.429,1.16736,0,0.249259,7.204,28.9619,55.4721,1409.92,171.81,1.18638,1,0.0349324,1.988,11.1473,199.589,1407.85,196.432,3.42799,
0,0.334613,7.204,46.5999,1081.88,1409.14,174.449,100,0,0.390539,7.204,31.351,127.338,1404.25,148.005,10.125,0,0.374287,7.204,28.3923,48.4897,1400.94,152.915,0.625,0,0.323834,7.204,28.6816,60.4345,1404,154.682,1.24169,0,0.314826,7.204,36.4779,57.8675,1403.32,142.8,1.24984,0,0.825876,7.204,30.3643,105.524,1417.25,191.984,1.26151,
0,0.059729,7.204,48.1967,1159.79,1412.97,179.948,100,0,0.12574,7.204,32.5317,146.682,1416.56,170.651,10.125,0,0.138561,7.204,28.9391,51.0441,1400.45,177.165,0.625,0,0.125344,7.204,29.1978,62.5056,1410.1,171.4,1.24584,1,0.0348554,2.232,10.5092,83.8976,1392.92,196.885,1.69022,1,0.0349072,4.6,26.4469,222.302,1409.9,205.076,3.66107,
1,0.0349003,5.204,36.6773,1377.78,1414.64,176.359,100,1,0.0344801,5.272,30.4198,202.987,1414.45,204.679,10.125,1,0.0349188,6.404,36.2494,56.8773,1411.92,199.283,0.625,1,0.0348439,2.82,13.7942,79.6279,1404.15,174.079,1.45879,1,0.0348277,5.404,27.9854,79.9108,1409.71,193.683,1.59699,0,0.069348,7.204,33.9037,217.277,1412.33,179.334,3.75671,
1,0.0349711,6.556,52.1999,1363.63,1422.43,207.012,100,0,0.15146,7.204,33.9718,192.492,1412.97,199.851,10.125,0,0.210367,7.204,29.5509,50.6399,1411.15,195.243,0.625,1,0.0349914,6.784,29.3924,66.7747,1405.44,176.143,1.25866,0,0.171751,7.204,29.9262,57.8209,1417.16,200.725,1.15249,0,0.173707,7.204,30.85,123.465,1409.71,202.725,1.68478,
0,0.102488,7.204,62.7208,1285.65,1423.92,193.63,100,0,0.119308,7.204,31.2378,166.036,1406.16,184.292,10.125,1,0.0348758,1.544,5.01112,54.3653,1414.41,122.805,0.625,1,0.0349833,3.592,17.7629,95.2954,1409.17,202.295,2.05231,0,0.0393734,7.204,39.6091,70.3884,1404.89,179.358,1.42152,0,0.162409,7.204,34.0987,166.434,1408.42,152.382,2.55786,
1,0.0349398,5.864,44.0094,1232.72,1419.49,202.419,100,1,0.0349838,4.804,20.1213,164.688,1411.31,172.741,10.125,0,0.171263,7.204,29.8323,54.5354,1410.39,207.426,0.625,0,0.26449,7.204,29.3117,70.4588,1410.94,166.18,1.33312,0,0.225601,7.204,30.7733,68.3892,1402.5,167.761,1.33632,0,0.264897,7.204,29.2735,73.3101,1409.02,165.303,0.784527,
0,0.116519,7.204,51.2195,1164.41,1420.95,180.862,100,0,0.323081,7.204,31.4507,163.309,1406.59,202.612,10.125,0,0.0828026,7.204,28.3269,50.2378,1405.88,145.099,0.625,0,0.26869,7.204,29.5821,74.6869,1417.77,168.326,1.37244,0,0.215997,7.204,29.0863,59.0676,1404.99,176.648,1.20428,0,0.255263,7.204,30.6123,132.97,1405.94,187.299,1.79348,
0,0.0855119,7.204,52.5313,1403.85,1417.6,177.156,100,0,0.166047,7.204,30.7209,158.314,1408.23,161.525,10.125,1,0.0349668,2.616,13.8188,53.3078,1406.27,210.075,0.625,1,0.034937,4.864,21.1261,82.8965,1411.22,186.63,1.65761,1,0.0349799,6.028,24.8724,62.437,1414.46,215.674,1.19643,0,0.0579895,7.204,32.5878,162.846,1413.58,157.258,2.48306,
0,0.0823493,7.204,52.4694,1365.32,1423.9,206.928,100,0,0.142199,7.204,32.4357,144.741,1402.89,176.407,10.125,1,0.0348288,1.676,6.84585,51.3855,1407.4,168.459,0.625,1,0.0349266,4.072,17.9062,80.1721,1424.2,206.445,1.5413,0,0.0506695,7.204,29.5483,64.3959,1409.43,181.612,1.36221,0,0.196176,7.204,30.7343,185.761,1406.27,138.739,2.55435,
0,0.129411,7.204,50.5608,1272.67,1416.08,198.56,100,0,0.148414,7.204,33.2842,164.55,1415.39,196.008,10.125,0,0.0789205,7.204,30.6726,53.0651,1405.98,175.359,0.625,0,0.254479,7.204,28.8971,60.0298,1401,173.975,1.1867,1,0.0349802,4.504,18.738,59.7655,1399.79,169.087,1.20158,0,0.216111,7.204,31.9846,106.393,1414.54,183.927,1.42839,
1,0.0349711,5.796,45.9476,1392.3,1410.65,181.072,100,0,0.108387,7.204,31.0771,155.978,1414.85,178.417,10.125,0,0.191735,7.204,28.7598,51.1265,1402.1,165.09,0.625,1,0.0349812,1.696,7.09382,82.2593,1417.48,195.338,1.48505,1,0.0348838,2.94,17.082,74.9339,1403.21,174.469,1.4278,1,0.0349333,2.444,14.1433,156.432,1407.97,142.135,2.17301,
0,0.115452,7.204,57.7954,1389.51,1411.14,168.755,100,0,1.24457,7.204,36.5144,150.677,1407.74,196.113,10.125,0,0.101169,7.204,31.5994,47.9958,1401.29,153.129,0.625,0,0.298181,7.204,29.6294,86.399,1406.41,168.434,1.62404,0,0.195667,7.204,30.1741,62.5766,1403.8,144.294,1.29795,0,1.72576,7.204,33.36,268.44,1416.24,201.693,4.44246,
1,0.0349504,5.136,44.7783,1299.48,1414.73,198.295,100,0,0.108928,7.204,31.186,149.117,1423.69,182.693,10.125,0,0.112718,7.204,32.5934,54.484,1398.26,179.016,0.625,0,0.117639,7.204,30.2593,62.0651,1399.04,149.542,1.21164,1,0.0348603,3.828,15.539,66.5836,1399.8,184.675,1.43116,1,0.0349971,1.924,8.75909,143.348,1401.64,140.743,1.78804,
1,0.0349402,4.868,52.1109,1215.09,1413.8,198.838,100,0,0.0555916,7.204,33.628,179.547,1408.04,201.418,10.125,0,0.153612,7.204,28.9633,50.2477,1409.4,162.026,0.625,0,0.522755,7.204,30.9988,62.9941,1402.55,174.217,1.14498,0,0.105616,7.204,28.9195,55.2766,1405.37,172.187,1.15377,0,0.265928,7.204,31.7798,205.46,1405.98,180.291,3.02238,
1,0.0349821,5.74,59.9547,1452.45,1424.14,198.279,100,1,0.0349475,2.24,13.1559,200.23,1413.87,183.696,10.125,1,0.0347681,2.716,15.877,60.4593,1413.88,225.613,0.625,1,0.0347931,3.92,19.89,104.917,1413.2,219.618,2.00483,1,0.0349297,3.212,19.3351,91.2441,1413.61,191.896,1.81599,0,0.141583,7.204,33.1547,263.89,1409.47,189.714,4.25959,
1,0.0349108,4.604,38.9837,1533.84,1415.63,196.676,100,1,0.0349756,4.972,24.3466,178.385,1413.71,196.767,10.125,1,0.0349726,2.88,15.4755,56.7796,1411.13,171.712,0.625,1,0.0349978,3.952,17.0407,89.5818,1399.39,139.852,1.9532,1,0.0349334,5.856,29.8747,82.2052,1409.05,192.294,1.65431,0,0.187511,7.204,35.7029,318.787,1416.34,168.786,4.92679,
0,0.114889,7.204,50.0838,1108.81,1411.44,183.005,100,0,0.0448909,7.204,32.6264,156.157,1416.34,165.151,10.125,0,0.211688,7.204,28.2799,51.2295,1401.08,137.752,0.625,1,0.0349976,4.948,27.7551,76.7194,1402.07,192.938,1.7654,0,0.19614,7.204,29.2192,67.2299,1403.15,167.014,1.23721,1,0.034681,1.84,11.4887,263.24,1412.82,169.211,4.59239,
0,0.116791,7.204,51.2574,1282.08,1424.6,215.211,100,0,0.120947,7.204,31.0018,149.988,1409.97,189.414,10.125,1,0.0349174,2.956,13.8976,53.9869,1402.08,197.829,0.625,0,0.129665,7.204,29.9328,64.3041,1401.47,209.184,1.20428,1,0.0348907,2.512,12.3537,70.8121,1402.84,218.312,1.31114,0,0.0977672,7.204,34.1565,321.422,1406.09,199.645,5.3766,
0,0.142917,7.204,49.362,1199.17,1419.48,200.235,100,0,0.0649185,7.204,33.0108,159.356,1408.44,187.63,10.125,0,0.134709,7.204,28.6686,50.0119,1401.15,164.2,0.625,0,0.0823584,7.204,29.1955,61.4065,1412.02,166.248,1.17072,0,0.0964197,7.204,30.3348,62.3029,1397.91,161.354,1.21276,0,0.268514,7.204,29.7507,113.417,1412.71,151.301,1.4821,
1,0.0348912,4.868,36.1371,1305.36,1411.6,200.811,100,1,0.0348859,4.128,18.9544,190.55,1420.2,196.422,10.125,0,0.0698853,7.204,33.1352,57.1731,1404.44,205.27,0.625,0,0.132782,7.204,31.0095,61.6236,1407.74,175.694,1.18974,0,0.0852553,7.204,31.949,60.1946,1409.36,135.275,1.29396,0,0.280032,7.204,34.2692,246.107,1414.07,165.379,4.02462,
1,0.0348426,4.516,37.9338,1241.13,1417.9,208.778,100,0,0.0680938,7.204,31.3539,164.354,1411.94,180.934,10.125,1,0.0348234,2.324,12.2152,56.4172,1423.66,203.293,0.625,1,0.0349547,5.612,26.2855,62.4183,1404.38,209.865,1.16263,1,0.034953,3.488,15.5972,57.3485,1399.44,202.26,1.18207,0,0.0428684,7.204,35.2105,174.29,1413.12,187.222,2.20972,
0,0.112645,7.204,53.8196,1475.27,1415.37,188.324,100,0,0.263976,7.204,30.4158,146.383,1406.59,162.947,10.125,0,0.0438911,7.204,29.671,52.7512,1400.45,122.308,0.625,0,0.0547607,7.204,33.2983,72.5566,1417.21,183.966,1.29252,0,0.20534,7.204,29.5657,75.3238,1414.21,168.049,1.52717,0,0.199311,7.204,29.0174,86.4695,1405.36,151.35,1.14898,
1,0.0348734,4.696,32.9839,1295.29,1418.33,197.809,100,1,0.0348009,3.232,18.2247,160.573,1410.02,191.909,10.125,1,0.0349512,3.956,18.6373,51.4321,1412.23,163.716,0.625,1,0.0349699,3.556,17.2223,85.4491,1405.57,166.126,1.99151,1,0.034767,2.656,15.433,87.761,1400.65,163.764,1.86413,1,0.0349777,4.292,28.5986,157.011,1408.67,169.781,2.42065,
