baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval1000,setInterval1000,setInterval1000,setInterval1000,setInterval1000,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
4.85253,35.671,100,0.33341,5,3.54866,35.669,1.04,0.071726,5,3.496,35.7062,0.16,0.0593218,5,3.71541,35.6691,1.04,0.0819598,5,3.5196,35.6691,1.04,0.0760772,5,3.42664,35.7077,0.182857,0.0587004,5,
7.08603,20.9536,100,0.363236,7,5.13324,20.9452,1.04,0.0650224,7,5.76574,20.9391,0.16,0.0635529,8,5.16799,20.9584,1.16,0.0738061,7,5.07242,21.2876,1.18286,0.0697906,7,5.03141,20.9245,0.628571,0.066657,7,
6.43245,28.1806,100,0.423113,6,5.18367,27.0216,1.04,0.065944,7,6.57842,27.9801,0.16,0.0641957,9,6.63124,24.0663,1.32,0.0733988,9,4.49113,26.903,1.20571,0.0736827,6,5.28038,24.6021,1.46286,0.0796963,7,
5.89561,17.9013,100,0.341058,6,3.49909,18.2736,1.04,0.0619984,5,4.33598,17.8279,0.16,0.0639893,6,4.46454,17.8008,1.04571,0.0719963,6,3.65513,18.2612,1.04571,0.0690596,5,4.1803,17.8476,0.474286,0.0630768,6,
7.97233,6.62587,100,0.577529,6,4.10053,7.00874,1.04,0.0654652,5,4.09801,8.71204,0.16,0.0615788,5,7.6818,4.77695,1.25714,0.0927318,8,11.2989,4.81488,1.33143,0.106139,10,11.631,6.34182,1.45143,0.158983,8,
8.4229,101.993,100,0.564404,5,6.13071,102.225,1.04,0.113859,5,4.82935,106.636,0.16,0.0878396,5,3.56914,103.616,1.09714,0.0750048,5,3.48035,102.843,1.12571,0.0663238,5,3.47507,103.343,0.902857,0.0670564,5,
4.96489,22.6686,100,0.367325,5,3.56059,22.6869,1.04,0.0618476,5,3.50392,24.1393,0.16,0.060058,5,3.70165,22.676,1.06857,0.0768568,5,3.55956,22.6788,1.06286,0.0681058,5,3.56741,22.6911,0.594286,0.065798,5,
4.81614,62.2777,100,0.336708,5,3.57051,63.0261,1.04,0.0646214,5,4.27613,61.1714,0.16,0.0624593,6,4.91352,62.2494,1.37714,0.0696643,7,4.3241,62.2132,1.25143,0.0745847,6,4.28272,62.3025,1.23429,0.0727835,6,
5.92558,52.4436,100,0.350679,6,4.30268,51.8132,1.04,0.0630418,6,4.92806,53.0228,0.16,0.0605677,7,5.01114,51.7779,1.14857,0.0691089,7,4.83322,51.881,1.13143,0.0657144,7,4.34366,51.6785,0.525714,0.0651593,6,
6.11347,19.4487,100,0.368706,6,6.3539,15.4723,1.04,0.0616579,9,5.77708,15.9666,0.16,0.0621165,8,7.92439,15.4975,1.29714,0.0718367,11,6.46833,15.7134,1.25143,0.0705976,9,4.3254,19.5579,0.977143,0.069931,6,
