baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,setInterval100_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
5.08017,106.315,100,0.370421,5,3.4592,105.951,1.04,0.059964,5,3.51661,105.955,0.56,0.0674402,5,3.50766,105.951,1.04571,0.067374,5,3.4792,106.767,1.05143,0.0676104,5,3.46633,106.95,0.32,0.0572592,5,1.7633,168.077,1.04,0.0627253,5,1.72218,168.051,0.56,0.0588103,5,1.90828,168.054,1.05143,0.0752967,5,1.93873,168.054,1.05143,0.0718933,5,1.89934,167.953,0.182857,0.0580357,5,
4.10118,114.66,100,0.379019,4,2.84054,117.902,1.04,0.0668932,4,2.82313,118.586,0.56,0.0600722,4,2.89299,114.419,1.07429,0.066873,4,2.85682,115.139,1.09143,0.0655905,4,2.89368,118.048,0.851429,0.066787,4,1.86256,132.737,1.04,0.0706733,5,1.62499,132.489,0.56,0.070368,5,1.74503,133.321,1.06857,0.075428,5,1.67232,132.726,1.06857,0.064204,5,1.76854,133.047,0.788571,0.071944,5,
3.90807,114.188,100,0.342843,4,2.78028,116.179,1.04,0.0607315,4,2.76912,117.657,0.56,0.0589607,4,2.71292,114.55,1.12,0.065507,4,2.69045,116.119,1.13143,0.0646207,4,3.38943,107.812,0.811429,0.063691,5,1.84677,150.449,1.04,0.0759847,5,1.84718,150.764,0.56,0.0743543,5,1.80122,151.529,1.11429,0.0676517,5,1.85273,150.309,1.11429,0.0674273,5,1.87474,150.784,0.822857,0.067124,5,
3.90001,102.214,100,0.336303,4,2.77831,102.216,1.04,0.059528,4,2.77825,102.203,0.56,0.0587748,4,2.69661,102.216,1.04571,0.0645548,4,3.30638,97.8151,1.06857,0.0618186,5,2.75577,100.47,0.291429,0.0569873,4,1.68888,152.762,1.04,0.0647183,5,1.69588,152.623,0.56,0.065583,5,1.64603,152.726,1.05143,0.0663367,5,1.84686,152.725,1.04571,0.0733203,5,1.764,152.463,0.182857,0.0582877,5,
4.09322,34.1336,100,0.365612,4,3.36058,36.3438,1.04,0.06719,5,3.21849,35.7911,0.56,0.063106,5,3.37846,33.356,1.08571,0.0656322,5,2.74724,31.1195,1.09714,0.064216,4,2.79662,36.7021,0.788571,0.066835,4,1.7932,39.8424,1.04,0.060387,5,1.74514,39.5999,0.56,0.06016,5,1.72063,40.0881,1.08571,0.0668093,5,1.79246,39.8988,1.08571,0.0722203,5,1.78155,40.2163,0.788571,0.0657597,5,
5.24226,40.6979,100,0.395426,5,2.80679,41.4791,1.04,0.068964,4,2.84454,40.9993,0.56,0.0627543,4,2.97725,40.9299,1.07429,0.0774525,4,2.93272,40.3017,1.05143,0.0695575,4,2.84276,41.6716,0.497143,0.0663235,4,1.89116,43.0868,1.04,0.0604947,5,2.01976,42.9895,0.56,0.0606855,5,1.95869,43.0419,1.07429,0.0737613,5,1.92085,43.0358,1.07429,0.065725,5,1.90384,43.0506,0.434286,0.0632873,5,
5.65322,173.82,100,0.557629,5,3.63911,168.275,1.04,0.0622263,5,3.59505,163.528,0.56,0.0622903,5,3.76053,164.146,1.49143,0.0750488,5,3.68271,166.061,1.44571,0.0733255,5,3.70966,164.524,2.06286,0.0901265,5,1.96266,178.107,1.04,0.0623833,5,1.9622,178.756,0.56,0.0679467,5,2.15383,179.866,1.47429,0.0748843,5,2.27192,177.53,1.38286,0.072275,5,2.34935,179.341,1.71429,0.087811,5,
4.84073,129.568,100,0.414265,5,2.83998,132.043,1.04,0.0608282,4,4.15603,129.451,0.56,0.0644756,6,3.44561,130.107,1.08571,0.0669842,5,3.45653,128.792,1.09143,0.0648855,5,2.73716,134.526,0.531429,0.062006,4,1.94006,148.495,1.04,0.0614137,5,1.81797,147.277,0.56,0.0636617,5,1.81574,147.998,1.08,0.0686463,5,1.98728,148.271,1.09143,0.078288,5,1.75114,148.188,0.577143,0.0640667,5,
3.65186,175.457,100,0.371575,4,2.83702,168.195,1.04,0.0608445,4,2.8226,168.063,0.56,0.059618,4,2.83929,166.803,1.18857,0.0705435,4,2.81427,175.017,1.19429,0.0673757,4,2.86296,167.166,0.742857,0.0656267,4,1.69035,178.878,1.04,0.0625105,5,1.53939,179.36,0.56,0.059421,5,1.88449,176.737,1.22286,0.0775077,5,1.78017,180.412,1.23429,0.0755397,5,1.87744,178.06,0.765714,0.064219,5,
