baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
8086.5,0.242417,100,3519.5,3,2405.02,0.206286,20.0357,726.128,3,1825.96,0.287146,5.03571,192.731,4,1008.21,0.171938,0.142857,18.949,3,1567.4,0.206015,2.04603,86.707,4,1445.23,0.221467,4.99286,260.749,3,
11437.8,0.416589,100,3439.31,3,2259.69,0.0295235,20.0357,686.164,3,1754.23,0.446968,5.03571,192.875,3,765.376,0,0.142857,22.169,3,1577.19,0.294618,2.12143,101.756,4,962.115,0,1.62381,144.864,3,
16777.5,0.387365,100,3042.17,5,4164.3,0.376621,20.0357,715.126,4,2686.49,0.548021,5.03571,175.351,5,1107.4,0.38998,0.142857,24.0693,3,1066.8,0.328427,2.03571,103.507,3,1843.35,0.434955,1.93571,133.039,4,
22154.3,0.583507,100,3366.58,6,2180.67,0.128705,20.0357,636.945,3,1258.54,0.13307,5.03571,192.728,3,1091.06,0.287384,0.142857,21.6553,3,863.257,0,2.03571,80.352,3,1292.53,0.143527,1.38889,101.316,3,
4131.29,0,100,3319.08,3,2095.73,0.174484,20.0357,628.552,3,1187.77,0.12847,5.03571,173.469,3,965.312,0.190536,0.142857,18.9025,3,1064.99,0.167499,2.04881,83.8855,3,1053.47,0.116442,1.5381,101.126,3,
10722.3,0.332145,100,3175.35,4,2241.28,0.166815,20.0357,673.822,3,1295.35,0.273117,5.03571,190.411,3,1552.81,0.402945,0.142857,19.2247,5,1330.58,0.239383,2.05159,92.3207,3,1775.21,0.3482,3.18571,191.019,4,
11077.9,0.357005,100,3374.76,3,2347.96,0.148527,20.0357,727.371,3,1271.26,0.0713007,5.03571,185.346,3,1008.67,0.118182,0.142857,19.874,3,1062.86,0.185745,2.0381,85.9245,3,1202.23,0.172467,2.85476,170.857,3,
15234.7,0.221198,100,3415.87,5,2281.7,0.0750547,20.0357,685.848,3,1803.76,0.124829,5.03571,190.323,4,1056.82,0.124407,0.142857,21.265,3,858.292,0,2.03571,76.47,3,1964.49,0.117838,3.37937,211.275,4,
13675.5,0.5947,100,3092.29,4,2070.6,0.482987,20.0357,622.194,3,1274.51,0.355867,5.03571,191.428,3,869.528,0.247939,0.142857,23.3495,3,1381.96,0.495348,2.03571,85.5413,3,1024.71,0.492479,1.19048,91.999,3,
7341.78,0.414364,100,3255.56,3,2072.56,0.299225,20.0357,637.193,3,1264.29,0.252973,5.03571,162.328,3,895.535,0.274371,0.142857,19.178,3,1027.91,0.241616,2.03571,77.715,3,1635.38,0.292979,2.15397,140.269,4,
6798.87,0.0366867,100,2938.74,3,3356.81,0.18494,20.0357,681.442,4,976.836,0,5.03571,214.979,3,999.16,0.159617,0.142857,24.3545,3,1627.25,0.160337,2.1381,107.289,4,959.968,0,2.40476,154.524,3,
11058.4,0.333392,100,3338.34,3,4524.85,0.316915,20.0357,689.36,5,1425.96,0.117339,5.03571,199.535,3,918.639,0.0798437,0.142857,19.435,3,1501.1,0.189743,2.12381,106.994,4,909.632,0,2.48095,149.201,3,
10796.2,0.124171,100,3260.07,3,3972.56,0.419814,20.0357,669.39,4,1507.6,0.455509,5.03571,187.237,3,901.096,0.204858,0.142857,24.891,3,2042.48,0.492129,2.05952,90.2158,5,842.632,0,1.35238,104.67,3,
7173.29,0.144232,100,3136.8,3,3139.23,0.48695,20.0357,725.168,3,1041.07,0,5.03571,179.258,3,1126.77,0.334633,0.142857,22.7083,3,1300.43,0.445409,2.07143,90.4993,3,1284.6,0.371279,1.55079,101.522,3,
13823.1,0.607289,100,3127.37,4,1312.74,0,20.0357,597.623,3,2145.48,0.532475,5.03571,198.629,4,1828.03,0.51584,0.142857,21.3128,5,1719.08,0.461438,2.04702,100.129,4,2436.77,0.524729,2.04,149.944,5,
21143.2,0.699643,100,3196.72,6,3929.7,0.42464,20.0357,643.878,4,1589.88,0.337342,5.03571,195.36,3,1387.89,0.486934,0.142857,23.0512,4,858.617,0,2.03571,74.378,3,2129.4,0.470821,1.35048,114.903,5,
