baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
20237.4,0.102073,100,9453.84,3,7472.09,0.138635,20.0357,1920.18,4,2273.46,0.112173,5.03571,495.522,3,1315.68,0.110962,0.142857,52.537,3,1750.74,0.154743,2.06832,229.825,3,1848.81,0.189575,1.41149,286.359,3,
22448.8,0.141961,100,10457.2,3,5805.08,0.140006,20.0357,2123.89,3,2630.14,0.138596,5.03571,549.466,3,1517.82,0.139439,0.142857,47.9875,3,2019.23,0.141464,2.03804,251.057,3,2240.44,0.138597,1.59938,338.316,3,
22122,0.146224,100,10297.2,3,7944.56,0.148118,20.0357,2030.8,4,3420.26,0.151593,5.03571,529.875,4,2001.33,0.170531,0.142857,45.2837,4,2542.83,0.15054,2.04348,238.503,4,2403.32,0.146571,1.86335,455.811,3,
30546.8,0.0714084,100,9720.41,3,7392.55,0.0676685,20.0357,1996.46,3,3066.77,0.067427,5.03571,538.889,3,1617.35,0.105004,0.142857,56.0223,3,2121.86,0.0747027,2.03675,232.891,3,2363.87,0.0786537,1.10766,277.983,3,
43450.6,0.181806,100,10375.1,4,10499.6,0.292831,20.0357,2120.18,4,5533.83,0.144619,5.03571,548.648,6,1698.39,0.121586,0.142857,61.2723,3,3246.62,0.134618,2.19953,294.684,4,1756.61,0.00073634,2.25466,398.673,3,
32178.9,0.22945,100,10244.4,3,7846.98,0.190748,20.0357,2121.83,3,3196.01,0.191125,5.03571,566.411,3,1597.16,0.185521,0.142857,52.5477,3,2202.51,0.191275,2.03675,243.031,3,2481.71,0.180737,1.35093,319.813,3,
32039.8,0.234754,100,10186.3,3,7763.5,0.191103,20.0357,2100.26,3,3236.44,0.191183,5.03571,562.429,3,1617.98,0.185166,0.142857,56.3077,3,2289.58,0.191422,2.03727,256.692,3,2323.86,0.1804,1.37681,298.09,3,
20448,0.142936,100,9577,3,5142.24,0.143317,20.0357,1938.97,3,3016.38,0.231186,5.03571,506.71,3,3316.98,0.654191,0.142857,48.0557,7,1779.01,0.143824,2.04503,230.42,3,4441.18,0.861478,0.798137,185.084,7,
29091.7,0.297248,100,9258.18,3,6984.67,0.298947,20.0357,1874.1,3,2797.72,0.296607,5.03571,488.803,3,1443.5,0.345398,0.142857,43.83,3,2011.69,0.298767,2.04555,220.606,3,1852.42,0.306209,0.757764,180.57,3,
28949.5,0.130736,100,9212.69,3,7036.81,0.214715,20.0357,1906.02,3,2850.02,0.245091,5.03571,485.565,3,1444.19,0.265086,0.142857,52.385,3,2005.64,0.163443,2.0471,231.997,3,2202.71,0.255799,1.09524,257.851,3,
32678.5,0.159958,100,10378.8,3,7804.63,0.310877,20.0357,2087.6,3,3187.75,0.161475,5.03571,543.965,3,1605.47,0.10066,0.142857,51.8947,3,2902.58,0.34524,2.04464,240.734,4,2542.76,0.324381,1.41097,360.936,3,
29190.1,0.328289,100,9291.67,3,7093.78,0.329813,20.0357,1899.36,3,2863.42,0.342977,5.03571,500.848,3,1484.31,0.209956,0.142857,42.2367,3,2046.45,0.317001,2.04244,222.363,3,1946.42,0.352479,0.805383,192.879,3,
33336.8,0.126268,100,10498.2,4,5917.37,0.0763664,20.0357,2200.94,3,2387.81,0.058834,5.03571,547.708,3,1442.91,0.00302817,0.142857,47.6295,3,2744.56,0.0364832,2.16356,294.213,4,2854.04,0.127257,2.43582,476.312,3,
30895.8,0.205501,100,9820.5,3,7821.89,0.159114,20.0357,2025.13,4,2904.55,0.0664827,5.03571,526.06,3,1530.79,0.102835,0.142857,50.8817,3,2071.33,0.0909335,2.06573,235.028,3,2529.78,0.165992,1.56108,337.304,3,
30423,0.186054,100,9651.14,3,7343.23,0.177433,20.0357,1968.4,3,3290.83,0.169205,5.03571,509.777,4,1516.77,0.222163,0.142857,42.6073,3,2492.05,0.141209,2.06263,239.391,4,2782.93,0.169714,1.97516,365.378,4,
31704.8,0.161356,100,10065.7,3,7610.08,0.162562,20.0357,2052.11,3,3037.04,0.171689,5.03571,530.093,3,1567.68,0.222756,0.142857,49.0737,3,2158.64,0.13774,2.04658,245.894,3,2469.34,0.159661,1.85197,331.281,3,
39293.2,0.26534,100,9379.05,4,9637.62,0.241384,20.0357,1935.04,4,3822.27,0.229763,5.03571,496.818,4,1488.35,0.195476,0.142857,50.4803,3,2075.77,0.124882,2.03934,221.602,3,3417.47,0.258298,1.52562,380.983,4,
38031.3,0.436979,100,9066.38,4,9026.42,0.278924,20.0357,1820.82,4,3653.99,0.243041,5.03571,476.708,4,1417.98,0.31322,0.142857,44.5147,3,1890.41,0.261102,2.03571,211.325,3,1733.48,0.350521,0.789855,134.719,3,
29775.5,0.279191,100,9465.29,3,7196.25,0.303468,20.0357,1925.56,3,2869.96,0.148726,5.03571,492.335,3,1563.88,0.339557,0.142857,43.4933,3,2100.88,0.330433,2.06366,247.539,3,2265.89,0.159344,1.44099,271.92,3,
29991,0.167106,100,9537.59,3,7237.85,0.14925,20.0357,1961.87,3,2840.57,0.0963142,5.03571,499.661,3,1470.1,0.239545,0.142857,45.3577,3,2023.02,0.16054,2.03571,223.033,3,1875.34,0.0952646,0.996894,177.507,3,
21188.1,0.12348,100,9965.29,3,5380.31,0.124541,20.0357,2052.86,3,2890.33,0.210669,5.03571,512.466,3,1528.85,0.241451,0.142857,47.8217,3,2082.84,0.216238,2.03623,230.584,3,2014.28,0.212632,0.855072,204.306,3,
28868.9,0.21675,100,9155.39,3,6910.33,0.26377,20.0357,1847.35,3,2832.01,0.266981,5.03571,487.871,3,1463.38,0.230216,0.142857,41.941,3,2095.57,0.269695,2.03675,213.61,3,2033.96,0.265348,1.16563,248.602,3,
33483.1,0.173743,100,10655.6,3,7962.17,0.170835,20.0357,2147.05,3,3218.2,0.167629,5.03571,546.411,3,1584.87,0.128071,0.142857,45.8163,3,2222.51,0.158319,2.06263,262.832,3,2549.51,0.158197,1.51035,337.966,3,
30572.5,0.327944,100,9742.92,3,7279.02,0.300123,20.0357,1989,3,2859.86,0.304015,5.03571,510.705,3,1510.93,0.173395,0.142857,45.027,3,2082.56,0.307002,2.08747,236.812,3,1513.56,0,1.24534,307.344,3,
20358.1,0.0107022,100,9553.68,3,7433.45,0.132941,20.0357,1914.16,4,1655.1,0,5.03571,516.74,3,1289.79,0.0407036,0.142857,46.5975,3,1413.33,0,2.04193,239.203,3,1367.49,0,1.40683,237.536,3,
29023.2,0.164013,100,9141.51,4,7040.02,0.253684,20.0357,1892.09,3,2811.5,0.188392,5.03571,506.49,3,1496.41,0.257184,0.142857,45.1477,3,1968.16,0.220294,2.04451,223.858,3,1778.31,0.0357035,0.732919,164.727,3,
30896.5,0.0955374,100,9825.63,3,7497.43,0.0992696,20.0357,2018.58,3,2962.06,0.0997715,5.03571,528.114,3,1539.48,0.0928028,0.142857,57.713,3,2084.61,0.0972924,2.03571,237.937,3,2116.9,0.168009,1.06522,233.074,3,
31916.4,0.376998,100,10148.5,3,7696.82,0.194676,20.0357,2056.14,3,2958.97,0.160075,5.03571,524.493,3,1250.13,0,0.142857,57.997,3,1469.33,0,2.11957,258.768,3,2903.17,0.113636,2.18841,473.443,3,
19832.5,0.0289596,100,9324.43,3,5139.21,0.0257255,20.0357,1939.02,3,2336.57,0.024438,5.03571,501.063,3,1443.13,0.0136931,0.142857,49.805,3,1801.55,0.0188175,2.04581,238.911,3,1739.98,0.0142329,0.937888,195.106,3,
31351.8,0.327598,100,9987.47,3,7457.34,0.325251,20.0357,2016.08,3,3945.12,0.366822,5.03571,525.335,4,1656.53,0.325013,0.142857,69.119,3,2070.1,0.323544,2.03623,240.867,3,2090.88,0.303774,1.11801,236.672,3,
11208,0,100,10015.3,3,3206.74,0,20.0357,2042.1,3,1745.51,0,5.03571,558.018,3,1166.87,0,0.142857,46.602,3,2046.23,0.0718137,2.03571,235.675,3,2443.12,0.367486,1.65114,346.723,3,
31257.6,0.159653,100,9937.54,3,7646.53,0.171188,20.0357,2060.45,3,3068.4,0.0881132,5.03571,534.783,3,1662.11,0.151003,0.142857,47.073,3,2134.63,0.0847741,2.04865,249.08,3,2618.77,0.155253,1.60766,371.074,3,
31362.7,0.219691,100,10014,3,7386.2,0.0745918,20.0357,2010.41,3,2979.88,0.105777,5.03571,524.793,3,1566.62,0.123488,0.142857,46.6037,3,2831.27,0.192033,2.04814,241.845,4,3549.48,0.195852,2.29736,438.449,4,
20373.4,0.0718872,100,9557.35,3,5128.5,0.104888,20.0357,1960.8,3,2321.44,0.101053,5.03571,537.327,3,1373.6,0.0987724,0.142857,44.4165,3,1719.67,0.0730797,2.06056,220.221,3,1740.28,0.106959,1.57143,242.348,3,
32306.7,0.131648,100,10176.2,4,7990.2,0.131556,20.0357,2056.24,4,3388.01,0.119241,5.03571,543.526,4,2004.71,0.150745,0.142857,48.4977,4,2679.24,0.129808,2.09161,273.313,4,2957.67,0.117661,1.71222,400.98,4,
29525.1,0.350317,100,9383.61,3,9528.21,0.265153,20.0357,1926.32,4,3971.23,0.354112,5.03571,514.747,4,1414.95,0.321369,0.142857,43.647,3,2117.53,0.213239,2.14286,247.353,3,3376.9,0.312029,1.80357,383.744,4,
20380.2,0.128235,100,9529.53,3,5348.6,0.082773,20.0357,1966.98,3,2323.88,0.0916176,5.03571,506.132,3,1407.62,0.00616466,0.142857,49.513,3,1936.31,0.0847418,2.09084,238.224,3,2490.92,0.0899557,2.3059,515.414,3,
31840.2,0.166205,100,10163.6,3,10255.7,0.318933,20.0357,2085.81,4,3034.21,0.138973,5.03571,540.629,3,1522.18,0.162201,0.142857,47.3587,3,2191.94,0.159606,2.05124,248.181,3,2737.19,0.125095,2.05797,441.326,3,
30021.3,0.183845,100,9528.59,3,7286.33,0.194132,20.0357,1954.13,3,2959.02,0.192815,5.03571,509.004,3,1148.98,0,0.142857,67.504,3,2096.52,0.197826,2.03571,222.845,3,2201.28,0.179437,1.23395,250.457,3,
41555.2,0.178128,100,9904.11,4,7464.14,0.0149825,20.0357,1998.4,3,2439.81,0.00882915,5.03571,543.783,3,1436.1,0.0197135,0.142857,57.635,3,1387.5,0,2.04969,266.321,3,2128.7,0.0066581,2.18012,431.276,3,
43351.2,0.336101,100,10316.2,4,7670.55,0.262632,20.0357,2073.06,3,4046.45,0.160578,5.03571,537.708,4,1613.37,0.248115,0.142857,50.3293,3,3261.2,0.272984,2.2795,303.334,4,4155.37,0.259128,2.56366,542.761,4,
29798.6,0.128006,100,9447.13,3,7003.73,0.140758,20.0357,1886.14,3,2870.48,0.193058,5.03571,500.963,3,1528.93,0.195855,0.142857,46.032,3,2084.15,0.209925,2.09317,245.147,3,2142.13,0.233469,1.38509,272.089,3,
39287.7,0.399768,100,9353.35,4,9451.08,0.274142,20.0357,1898.67,4,2874.98,0.250339,5.03571,507.182,3,1579.53,0.297252,0.142857,52.4503,3,2018.32,0.278699,2.03727,227.044,3,2234.17,0.262726,1.32091,262.765,3,
11530.1,0,100,10460.4,3,3175.04,0,20.0357,2108.67,3,1657.92,0,5.03571,550.167,3,1165.86,0,0.142857,53.525,3,1253.45,0,2.03571,252.156,3,1617.7,0,2.47205,494.378,3,
30052.6,0.128468,100,9553.17,3,7229.44,0.135653,20.0357,1955.12,3,2949.25,0.111955,5.03571,519.996,3,1492.83,0.0628219,0.142857,55.2753,3,2064.66,0.0971706,2.03571,242.088,3,1837.62,0.135134,0.776398,165.047,3,
29550.2,0.357281,100,9412.12,3,7037.69,0.270079,20.0357,1902.82,3,2876.34,0.259315,5.03571,502.932,3,1432.69,0.347207,0.142857,45.1867,3,1948.72,0.331267,2.03934,222.02,3,1862.45,0.237058,0.799172,185.749,3,
30473.4,0.307939,100,9688.01,3,7387.4,0.215227,20.0357,1991.14,3,2959.5,0.228785,5.03571,514.122,3,1585.37,0.306038,0.142857,43.9567,3,2161.84,0.163678,2.08851,240.734,3,2613.29,0.153302,1.86646,384.92,3,
