baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1345.94,0.915394,100,158.481,5,744.222,0.915391,20.0357,33.94,5,581.245,0.915391,5.03571,10.4968,5,510.912,0.915393,0.142857,3.1432,5,571.61,0.915391,2.03571,5.8612,5,607.507,0.915391,0.52449,5.8554,5,
2453.6,0.883244,100,184.623,8,1253.22,0.878812,20.0357,38.5525,8,958.466,0.924549,5.03571,13.401,7,763.21,0.923409,0.142857,3.06067,6,753.942,0.925138,2.09779,8.3295,6,1027.25,0.912565,1.28954,10.4554,8,
1294.78,0.919356,100,149.689,5,707.286,0.919356,20.0357,32.9682,5,616.405,0.919356,5.03571,9.6454,5,539.667,0.919358,0.142857,6.6922,5,583.644,0.919356,2.03571,5.6006,5,547.676,0.919356,0.538776,4.8354,5,
1419.82,0.914389,100,167.592,5,787.726,0.914388,20.0357,40.2464,5,609.459,0.914389,5.03571,10.3638,5,611.458,0.914397,0.142857,5.1352,5,625.539,0.914389,2.03571,8.7092,5,609.199,0.914389,0.689796,5.1028,5,
1627.18,0.912231,100,161.404,6,862.841,0.912239,20.0357,35.7405,6,736.814,0.912234,5.03571,12.4015,6,534.309,0.905485,0.142857,2.901,5,690.066,0.912236,2.03741,8.644,6,650.215,0.912233,1.16497,7.55817,6,
1352.3,0.764354,100,216.404,4,679.187,0.764276,20.0357,51.5065,4,1042.99,0.910349,5.03571,15.1232,8,479.955,0.703746,0.142857,2.996,4,984.797,0.843775,2.32207,12.3224,8,899.433,0.809923,1.70554,12.5121,7,
1527.21,0.916398,100,148.451,6,832.626,0.916398,20.0357,33.9792,6,696.2,0.916398,5.03571,9.64017,6,665.847,0.916398,0.142857,3.0765,6,633.509,0.916398,2.03827,5.78467,6,669.99,0.916398,0.583333,4.70783,6,
1868.44,0.590666,100,257.384,5,868.356,0.606746,20.0357,62.418,5,653.136,0.590772,5.03571,16.2842,5,920.972,0.89484,0.142857,3.269,8,1023.72,0.929809,3.2264,15.3867,8,671.169,0.61123,2.57959,24.2818,5,
1240.59,0.914602,100,140.594,5,661.785,0.914605,20.0357,30.1482,5,549.917,0.914605,5.03571,10.3256,5,549.095,0.914606,0.142857,2.7118,5,563.133,0.914605,2.03571,5.5298,5,485.584,0.914605,0.536735,4.918,5,
1644.06,0.929598,100,167.351,6,995.343,0.929598,20.0357,43.4248,6,759.384,0.929598,5.03571,10.4688,6,623.567,0.801801,0.142857,5.4082,5,729.389,0.929598,2.03656,6.20083,6,666.526,0.929598,0.671769,5.452,6,
1398.34,0.914324,100,167.172,5,788.111,0.91424,20.0357,36.3198,5,664.975,0.914043,5.03571,10.0794,5,723.115,0.881009,0.142857,3.90117,6,665.462,0.913913,2.0602,11.6746,5,619.715,0.914069,0.765306,5.2218,5,
1338.16,0.915057,100,156.349,5,736.614,0.915052,20.0357,36.2944,5,637.741,0.915052,5.03571,10.986,5,583.307,0.91505,0.142857,5.0228,5,599.491,0.915052,2.03571,9.1834,5,578.012,0.915051,0.665306,5.9816,5,
1913.65,0.406698,100,268.489,5,853.878,0.415497,20.0357,61.7894,5,1016.6,0.542173,5.03571,16.2906,8,592.609,0.476732,0.142857,5.3698,5,1035.07,0.527091,3.08036,17.494,8,565.677,0.405374,3.93878,29.7765,4,
