baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
3819.99,0.318568,100,1069.35,3,967.426,0.248262,20.0357,214.951,3,726.155,0.532519,5.03571,59.094,3,586.017,0.644437,0.142857,7.40667,3,685.691,0.509571,2.24603,42.7907,3,1214.68,0.408925,2.74206,72.6105,5,
3842.89,0.171004,100,1084.96,3,1682.25,0.269979,20.0357,229.051,4,1503.01,0.407444,5.03571,71.1488,6,634.82,0.1224,0.142857,8.04067,3,728.831,0.179886,2.0754,39.8977,3,653.138,0.178505,1.10053,27.6067,3,
3700.53,0.11412,100,1045.98,3,1234.05,0.114867,20.0357,219.969,3,1145.67,0.150862,5.03571,64.8325,4,988.049,0.450346,0.142857,7.6968,5,660.549,0.116037,2.03836,31.8157,3,747.384,0.0923731,1.34656,38.4717,3,
3762.05,0.115174,100,1040.41,3,1293.55,0.115043,20.0357,225.221,3,752.013,0.11325,5.03571,61.2593,3,618.514,0.0453669,0.142857,12.7383,3,718.711,0.118262,2.03968,31.0897,3,944.044,0.244143,2.09921,49.9355,4,
1477.04,0,100,1082.67,3,685.271,0,20.0357,223.313,3,578.062,0,5.03571,63.234,3,620.699,0.21289,0.142857,9.48033,3,477.476,0,2.14683,31.007,3,496.781,0,3.09524,67.188,3,
1459.58,0,100,1069.27,3,662.402,0,20.0357,222.79,3,526.166,0,5.03571,65.332,3,627.937,0.204087,0.142857,8.34067,3,465.837,0,2.15079,32.989,3,546.732,0,3.13492,75.114,3,
3787.97,0.431252,100,1052.75,3,1233.91,0.638444,20.0357,211.074,3,1132.41,0.67134,5.03571,65.1938,5,751.931,0.515629,0.142857,7.70125,4,692.759,0.684254,2.20503,40.74,3,680.678,0.706705,2.0873,50.6053,3,
3556.5,0.109201,100,982.399,3,1170.65,0.122811,20.0357,202.763,3,1033.18,0.203579,5.03571,61.0815,4,662.41,0.0937455,0.142857,13.236,3,1213.79,0.395221,2.16667,36.9228,6,577.861,0.0112543,0.738095,18.882,3,
5523.35,0.33176,100,1202.78,4,1259.78,0.531454,20.0357,245.742,3,730.264,0.516091,5.03571,72.1497,3,747.202,0.673132,0.142857,8.75275,4,523.558,0.0122083,2.24603,38.016,3,759.616,0.550256,2.34656,59.5853,3,
4852.48,0.326623,100,1019.57,4,1589.8,0.418999,20.0357,209.278,4,985.101,0.350899,5.03571,63.1147,4,986.496,0.553042,0.142857,11.5764,5,905.591,0.417927,2.0506,32.801,4,951.092,0.402131,1.57143,46.195,4,
3436.74,0.334507,100,959.567,3,1146.95,0.336104,20.0357,200.935,3,778.809,0.336582,5.03571,55.532,3,716.905,0.381994,0.142857,12.531,4,667.734,0.338585,2.06481,29.297,3,662.494,0.333917,1.33333,37.1737,3,
2331.05,3.59943e-06,100,903.026,3,909.28,1.86603e-06,20.0357,197.756,3,621.12,3.29839e-06,5.03571,66.0585,3,496.358,3.27359e-05,0.142857,9.64,3,522.623,3.32291e-06,2.03968,24.6895,3,513.642,2.18437e-05,0.670635,20.013,3,
3542.87,0.143095,100,973.179,3,1210.71,0.143165,20.0357,207.097,3,684.823,0.147717,5.03571,53.5267,3,760.67,0.434278,0.142857,11.669,4,679.16,0.151716,2.04233,32.964,3,990.11,0.277601,1.94246,52.1037,4,
3521.1,0.12317,100,967.729,3,1208.81,0.145421,20.0357,197.972,3,686.685,0.145468,5.03571,54.808,3,573.164,0.108561,0.142857,7.864,3,668.965,0.148491,2.04365,30.0317,3,942.796,0.208241,1.63492,38.5325,4,
4607.12,0.365672,100,964.259,4,1199.29,0.239683,20.0357,198.983,3,1007.05,0.27977,5.03571,54.4493,4,556.146,0.261315,0.142857,7.67433,3,834.923,0.260453,2.06845,28.4912,4,615.935,0.232629,1.02646,27.979,3,
3432.27,0.102976,100,959.162,3,1562.56,0.123923,20.0357,198.395,4,875.7,0.103533,5.03571,77.8043,3,883.728,0.328791,0.142857,8.9386,5,872.253,0.228301,2.06845,31.5553,4,676.608,0.0959528,1.26984,33.5683,3,
