iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
3476.63,0.255709,1.29581,264.821,3,
4184.43,0.250168,3.65761,575.577,3,
2984.8,0,1.1941,141.817,3,
3877.25,0.630754,1.17754,408.601,3,
3529.68,0.023982,1.28727,396.153,3,
2621.22,0.329492,0.673913,205.815,3,
3131.66,0.082162,0.55823,216.003,3,
3415.5,0.0188426,0.907609,242.704,3,
2696.53,0,0.574534,81.5753,3,
3091.89,0.0553105,0.815217,217.673,3,
3034.83,0.0151274,0.503106,121.597,3,
2807.05,0.323668,0.879658,201.705,3,
2512.6,0.290279,0.300466,104.92,3,
2800.17,0,0.934783,114.741,3,
3370.64,0.540918,2.22671,432.166,3,
2877.7,0,1.1413,135.581,3,
3070.9,0.102502,1.36879,260.105,3,
2878.66,0,1.21429,145.778,3,
4234.75,0.927132,1.37655,490.68,4,
2992.07,0.888294,1.05021,350.28,3,
3004.85,0.237352,0.572205,198.907,3,
2656.16,0.354532,0.279503,71.469,3,
4406.42,0.273289,2.64984,644.204,3,
3287.85,0.273295,0.963509,228.027,3,
3550.16,0.145078,1.55745,323.513,3,
3371,0.158306,1.27795,272.584,3,
2404.56,0.344895,0.361025,66.7227,3,
2927,0.641261,0.666149,145.275,3,
3473.79,0.798387,2.69255,500.302,3,
4096.85,0.431654,1.31004,309.75,4,
2917.63,0.246714,1.04969,245.933,3,
2799.49,0.0577556,0.486801,122.997,3,
3740.04,0.60227,1.85481,448.094,3,
2911.63,0.519424,1.43711,289.415,3,
3378.99,0.275448,1.60792,440.452,3,
3615.82,0.00146127,2.60404,486.509,3,
3610.82,0.109216,0.493789,147.011,4,
2949.9,0,1.55901,148.908,3,
2859.78,0,2.31677,198.238,3,
3117.64,0.065408,1.76087,332.727,3,
2701.24,0.122555,0.430124,108.5,3,
3300.8,0.710645,1.14519,261.6,3,
2723.97,0,1.89752,197.393,3,
2893.03,0.22171,0.370342,91.618,3,
2581.05,0.900172,0.270963,85.761,3,
4284.62,0.227077,3.04736,629.031,3,
4002.28,0.192241,1.8222,511.316,3,
2162,6.53155e-12,0.533126,130.597,3,
3684.18,0.0258399,1.28339,286.22,3,
3451.37,0.362549,1.11491,297.273,3,
3219.32,0.467837,2.33463,408.706,3,
3850.91,0.584343,2.24689,505.47,3,
3532.16,0.592874,1.41925,328.142,3,
2687.02,0.229891,1.68012,260.727,3,
2562.18,0,0.793478,76.93,3,
3040.39,0,0.706522,102.623,3,
2711.93,0,0.565217,70.475,3,
3181.67,0.769362,1.06159,375.574,3,
3286.45,0.000270703,0.978261,256.132,3,
2697.42,0.244945,1.11491,348.354,3,
3177.63,0.471021,1.88354,317.614,3,
3133.43,0.33995,1.26475,262.982,3,
2953.55,0,1.14596,122.047,3,
3015.25,0.073651,1.0955,210.195,3,
3020.9,0,2.4441,205.569,3,
4879.42,0.666501,3.48137,1095.29,3,
2409.33,0.158311,0.153727,45.0647,3,
2960.58,0,0.692547,106.879,3,
2769.01,0,1.38975,137.041,3,
3475.08,0.369609,1.24224,284.551,3,
3131.84,0.375947,2.43168,403.888,3,
3962.68,0,3.85404,415.445,3,
6390.73,0.738292,3.20303,873.569,4,
3352.2,0.237494,0.703416,225.19,4,
2852.46,0,1.01553,119.336,3,
4591.73,0.744984,4.22438,874.624,3,
2801.33,0.399099,0.545549,270.658,3,
2750.59,0.0115142,0.409938,97.768,3,
2999.56,0.277474,0.954193,284.511,3,
3131.89,0.235522,1.62112,328.747,3,
3343.84,0.368094,0.979814,257.4,3,
2852.78,0.170221,0.805901,143.771,3,
2948.19,0,1.79814,162.071,3,
3380.92,0.00512883,1.90606,344.072,3,
3749.89,0.480462,1.94488,381.926,3,
2842.22,0.156147,1.22748,249.019,3,
3478.1,0.0509183,1.85248,358.796,3,
3245.69,0.616111,1.10663,384.133,3,
2856.32,0,1.04658,110.538,3,
3161.52,0.00441101,1.67624,351.008,3,
3249.18,0,1.8618,244.012,3,
4759.43,0.133721,1.5854,389.232,4,
3166.85,0.977045,1.84472,520.661,3,
2843.03,0.691323,0.926242,198.918,3,
3085.54,0.525139,1.8354,402.783,3,
3577.62,0,2.64907,255.904,3,
3102.45,0.341774,0.496118,156.627,3,
4311.96,0.758433,2.16718,450.435,4,
4744.34,0.374045,2.00259,448.993,4,
1797.21,0.01744,0.325569,179.796,3,
