iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1808.13,0.722242,2.65608,104.535,6,
1541.32,0.930295,2.70952,109.992,5,
1552.45,0.729403,2.78333,123.484,5,
1590.51,0.629656,2.73651,115.12,5,
2474.96,0.785957,6.42262,244.949,6,
1761.12,0.932332,3.51521,130.492,6,
1509.72,0.428058,2.48492,103.754,5,
2143.65,0.829367,3.89484,148.495,6,
1660.27,0.753725,4.58413,147.12,5,
1582.29,0.509989,3.86111,145.187,5,
2499.22,0.843437,4.88379,168.165,7,
1490.19,0.909274,2.57222,112.22,5,
1992.54,0.812378,2.90079,122.894,6,
1888.73,0.736965,3.68386,139.497,6,
1770.69,0.695956,4.8373,177.106,5,
1549.36,0.825468,2.65635,111.035,5,
1843.71,0.492951,3.07474,102.486,6,
1042.74,0.240043,3.25992,140.836,4,
1004.23,0,0.980159,17.4523,3,
2144.75,0.890515,4.09977,166.545,7,
1748.58,0.729516,4.09841,152.699,5,
1701.04,0.672651,3.21561,106.808,6,
2817.52,0.601115,6.86395,235.114,7,
2038.33,0.794814,3.31548,133.753,6,
2424.42,0.824217,4.42404,159.302,7,
1546.64,0.89846,2.90317,122.796,5,
1740.4,0.877669,3.58069,137.767,6,
988.448,0,1.00397,15.243,3,
1455.7,0.918829,3.18651,112.669,5,
1131.97,0.297665,1.45734,74.3848,4,
1859.04,0.591869,4.03492,154.658,5,
1975.94,0.791283,4.01587,122.572,6,
1845.29,0.636881,3.37765,128.1,6,
2039.11,0.78555,4.62632,174.536,6,
2591.58,0.740532,5.56973,179.635,7,
2043.75,0.897883,4.71825,169.554,6,
1756.83,0.598173,3.58929,126.371,6,
1852.98,0.700223,4.20899,133.209,6,
1511.06,0.843357,3.20238,117.65,5,
980.896,0,0.777778,11.5463,3,
1705.67,0.748188,3.57222,144.46,5,
1422.34,0.873631,2.02381,85.943,5,
2265.09,0.843569,3.79932,146.107,7,
1030.74,0,1.47619,30.406,3,
1994.64,0.828662,3.33163,129.695,7,
1839.96,0.822211,4.10384,141.744,6,
2209.97,0.86414,5.00737,167.744,7,
1032.38,0,1.23016,30.4063,3,
1926.76,0.691187,4.2996,156.59,6,
1950.18,0.632183,4.15741,164.204,6,
700.601,0.00984302,0.789683,24.5447,3,
2027.9,0.537598,3.69577,147.336,6,
1916.06,0.665537,4.33069,149.846,6,
1694.93,0.768217,3.94921,141.125,5,
1406.65,0.890485,3.1873,98.008,5,
1152.7,0.371183,1.83036,87.1175,4,
2130.77,0.82251,4.00397,148.495,6,
1898.19,0.663334,4.16138,155.899,6,
703.041,0.00679617,1.34524,40.1753,3,
1352.61,0.699899,2.02381,73.075,5,
975.642,0,0.81746,11.0137,3,
1347.28,0.900978,2.64603,89.944,5,
1663.81,0.613102,2.37302,96.7953,6,
983.188,0,0.956349,14.8503,3,
1982.34,0.797134,5.24471,174.688,6,
2054.77,0.706206,4.87434,175.455,6,
1462.49,0.922339,3.18095,113.143,5,
1733.97,0.701429,2.94246,118.504,6,
1777.1,0.900603,2.73299,98.4666,7,
981.574,0,0.912698,15.5287,3,
1667.27,0.841602,3.86508,135.506,5,
671.849,0.00796098,1.14087,33.8267,3,
1573.5,0.809534,3.35079,127.909,5,
2383.82,0.70763,4.29932,163.247,7,
2051.83,0.87488,3.19841,115.912,7,
1404.01,0.841371,2.58095,103.572,5,
1604.05,0.732735,4.25317,149.201,5,
1653.92,0.936659,3.28108,115.913,6,
965.336,0,0.809524,10.9777,3,
1956.53,0.830488,3.33107,139.82,7,
1782.35,0.648991,4.27857,162.448,5,
2678.27,0.699698,4.79861,182.383,8,
1522.28,0.777088,3.89048,122.628,5,
1703.5,0.719526,4.00952,144.788,5,
1439.13,0.707263,2.37063,90.6016,5,
1256.32,0.337626,2.72619,98.3525,4,
1547.99,0.516373,3.14762,119.421,5,
1759.96,0.774211,4.59286,157.846,5,
1440.22,0.793977,3.86667,132.399,5,
1719.11,0.93126,3.28175,114.798,6,
2096.76,0.852977,3.27324,125.07,7,
978.746,0.170593,3.38294,126.045,4,
1297.48,0.343996,2.8373,109.313,4,
2188.89,0.880032,3.09184,137.017,7,
1788.94,0.769234,4.30093,146.531,6,
2087.26,0.752592,3.55159,156.043,6,
1744.74,0.601279,4.86984,160.57,5,
1945.31,0.851604,3.27268,136.971,7,
2287,0.766362,4.91553,160.975,7,
1519.11,0.860412,3.68175,122.242,5,
