iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
417.112,0.869579,0.119388,3.8288,5,
444.107,0.84655,0.131633,17.2996,5,
353.897,0.790144,0.518367,6.3934,5,
395.562,0.796579,0.12585,3.06617,6,
361.657,0.798087,0.129592,2.818,5,
559.983,0.0938,5.67177,68.0503,3,
417.431,0.814325,0.111224,9.4538,5,
423.205,0.258319,3.23469,30.978,3,
412.148,0.845689,0.542517,6.50083,6,
554.206,0.779107,0.131378,2.98388,8,
678.556,0,10.4133,25.4773,3,
453.566,0.768055,0.260204,4.33783,6,
573.374,0.882965,0.114796,2.92075,8,
507.399,0.853734,0.145408,2.6785,8,
502.1,0.869732,0.117347,2.6436,5,
427.64,0.243035,1.51122,13.956,5,
303.564,0.859216,0.111224,2.6724,5,
322.288,0.815545,0.107143,2.4436,5,
379.766,0.790547,0.329082,5.61925,4,
511.698,0.396801,4.04209,35.4945,4,
369.129,0.84343,0.131633,3.105,5,
724.487,0.327633,2.53061,24.4224,5,
328.788,0.82751,0.109184,2.3168,5,
554.529,0.918274,0.195335,3.28086,7,
442.437,0.817147,0.558163,18.3204,5,
426.467,0.838813,0.109184,7.9216,5,
644.569,0.16667,5.66582,59.8973,4,
429.34,0.879002,0.107143,2.2982,5,
328.212,0.819504,0.123469,2.5062,5,
372.456,0.881188,0.12551,2.6636,5,
483.376,0.878556,0.177114,3.59371,7,
356.193,0.816917,0.119388,2.7488,5,
552.06,0.634727,0.553571,6.18925,4,
684.54,0.299431,3.60587,47.0138,4,
355.135,0.804871,0.111224,3.1856,5,
867.279,0.042363,10.5952,125.717,3,
306.454,0.864974,0.133673,3.1484,5,
728.745,0.177221,7.04464,57.704,4,
334.465,0.784348,0.121429,2.4474,5,
523.133,0.568752,2.22832,19.7237,4,
382.841,0.808813,0.107143,3.688,5,
427.417,0.851907,0.113265,5.7202,5,
601.902,0.239802,7.32993,80.5813,3,
484.163,0.814754,0.131924,3.74386,7,
321.243,0.807646,0.107143,2.5942,5,
391.156,0.833835,0.107143,2.5068,5,
359.61,0.896852,0.127551,2.8376,5,
400.982,0.850615,0.522959,5.21783,6,
994.286,0.187097,3.92449,61.55,5,
357.056,0.763829,0.123469,2.5152,5,
517.111,0.816559,0.107143,2.9806,5,
831.117,0.242572,5.37883,46.3737,4,
577.245,0.860213,0.144133,4.16563,8,
406.19,0.807799,0.341837,6.4792,5,
438.703,0.859116,0.139456,3.276,6,
376.046,0.850549,0.136054,2.60617,6,
605.824,0.15542,4.19133,41.943,4,
556.181,0.85784,0.524781,7.60543,7,
645.526,0.383691,5.27934,49.0415,4,
380.69,0.837026,0.133673,2.826,5,
461.333,0.756932,1.06888,10.016,4,
447.488,0.848082,0.214286,3.47157,7,
479.509,0.707252,1.33801,13.9255,4,
492.656,0.834392,0.130102,3.09912,8,
306.16,0.834492,0.119388,2.9408,5,
383.459,0.848208,0.132653,2.55433,6,
446.993,0.880158,0.304422,4.2145,6,
359.995,0.800604,0.129592,2.6658,5,
341.07,0.796928,0.196939,3.5916,5,
433.933,0.867451,0.119388,3.4178,5,
814.831,0.868069,1.16327,12.1512,8,
790.481,0.754814,1.44388,20.1899,8,
334.611,0.843853,0.107143,2.7004,5,
518.714,0.825685,0.133382,4.02286,7,
583.832,0.202271,7.26531,76.5943,3,
322.469,0.847052,0.111224,2.6146,5,
425.821,0.826361,0.12585,3.05817,6,
693.673,0.0930041,7.09694,73.8185,4,
487.068,0.85717,0.145044,3.132,7,
496.187,0.849569,0.139213,2.93686,7,
312.009,0.836702,0.135714,3.3234,5,
564.21,0.0960841,5.96088,66.142,3,
418.974,0.83729,0.146259,2.93467,6,
708.218,0.319225,7.55612,83.4673,4,
400.479,0.798005,0.127551,6.0105,6,
342.742,0.822194,0.117347,2.9702,5,
416.37,0.821196,0.13484,2.85586,7,
692.645,0.834576,0.328571,5.6386,5,
364.378,0.800039,0.107143,2.8506,5,
486.765,0.897172,0.365646,5.739,6,
584.333,0.120457,11.1973,83.4397,3,
382.356,0.788343,0.117347,2.7214,5,
490.799,0.153501,3.81633,28.961,3,
844.086,0.833951,0.368197,6.0035,6,
318.757,0.812251,0.107143,2.616,5,
419.744,0.839787,0.130952,3.14583,6,
453.071,0.763041,0.25,4.59133,6,
463.332,0.814302,0.115646,3.0645,6,
328.967,0.803274,0.113265,2.6318,5,
445.103,0.793845,0.291667,4.89033,6,
