iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
387.866,0.940854,35.0491,24.6291,8,
522.538,0.671058,57.0781,35.8669,8,
235.474,0.926824,23.7455,15.6148,8,
123.289,0.89384,5.59524,6.17283,6,
283.482,0.73926,38.4464,21.6391,8,
307.011,0.849096,46.3423,25.6767,6,
359.871,0.765184,45.1339,24.6569,8,
233.769,0.932988,27.3192,15.5285,8,
244.24,0.906224,27.7879,16.9369,8,
267.096,0.758172,33.9844,19.6394,8,
289.097,0.942447,38.9464,22.2291,8,
271.204,0.908491,34.7344,20.1009,8,
318.404,0.897814,34.4598,25.6411,8,
375.19,0.808321,44.9754,29.4371,8,
227.58,0.927553,23.7054,14.3218,8,
262.726,0.901372,25.0379,18.8224,8,
278.338,0.891581,29.4621,20.5419,8,
208.783,0.897908,16.8705,12.0074,8,
371.76,0.759148,46.6808,25.8929,8,
258.204,0.913445,30.3415,18.336,8,
252.551,0.895171,27.9397,17.6621,8,
243.826,0.895674,26.7522,16.7919,8,
220.817,0.911181,19.0045,13.518,8,
324.808,0.809339,36.1696,21.4282,8,
325.106,0.61733,46.3504,26.139,8,
375.898,0.688094,50.9397,26.6461,8,
367.674,0.823374,44.7902,23.821,8,
179.424,0.826001,18.8571,12.0203,7,
125.207,0.382856,44.25,25.0443,3,
211.165,0.89907,18.2054,12.9425,8,
248.265,0.911887,28.6071,16.8546,8,
235.712,0.875391,26.1027,15.9174,8,
357.563,0.858207,47.1897,25.4301,8,
135.384,0.887586,10.7351,8.95583,6,
202.292,0.901227,16.2321,11.8845,8,
379.292,0.788711,37.8906,33.0965,8,
403.828,0.751953,42.6138,23.6794,8,
264.087,0.926265,35.0156,19.3039,8,
213.122,0.894787,20.5491,12.9399,8,
221.008,0.893798,21.5759,14.064,8,
301.28,0.930044,42.1094,23.7927,8,
252.245,0.896622,27.779,17.5707,8,
231.085,0.887737,23.154,14.8834,8,
382.777,0.726989,40.8192,22.9386,8,
234.443,0.767421,25.1897,15.5105,8,
255.997,0.883371,30.5871,18.1855,8,
313.782,0.91807,42.2924,24.0838,8,
255.514,0.903616,28.9621,17.9197,8,
198.686,0.902614,15.596,11.0321,8,
465.51,0.504637,53.5915,28.2212,8,
247.15,0.900866,27.9531,17.0483,8,
241.066,0.943485,29.0826,16.5465,8,
329.786,0.829643,43.5067,23.6356,8,
224.259,0.889748,21.9241,14.3091,8,
128.659,0.90212,9.8006,7.3955,6,
421.392,0.953577,63.9576,31.7681,8,
134.15,0.852709,11.1786,8.49683,6,
451.479,0.840232,55.2634,28.7264,8,
268.553,0.730968,34.5915,19.711,8,
272.246,0.871602,30.8549,20.1962,8,
260.371,0.903907,26.3884,18.8334,8,
289.909,0.805492,37.8415,22.5038,8,
326.321,0.773061,46.9576,26.2348,8,
116.288,0.900866,5.63393,5.20333,6,
331.71,0.754731,42.4933,23.1023,8,
397.338,0.691405,45.4085,25.161,8,
391.082,0.864983,51.2411,27.7294,8,
242.223,0.926307,26.0268,16.5029,8,
242.661,0.894131,26.3951,16.4785,8,
178.779,0.903546,12.1719,8.73475,8,
269.613,0.898443,29.1049,19.6065,8,
351.154,0.752897,43.2701,23.5491,8,
269.623,0.907229,34.2835,19.9786,8,
416.72,0.88831,25.4018,35.0118,8,
368.531,0.898327,16.1607,30.6571,8,
441.932,0.811252,48.2366,26.7457,8,
266.889,0.902831,33.8192,19.642,8,
299.124,0.894615,41.4353,23.6171,8,
226.842,0.903304,20.3527,14.2832,8,
268.768,0.883094,34.154,19.52,8,
226.214,0.886103,22.8103,14.6389,8,
269.375,0.697408,33.0848,19.7728,8,
389.492,0.750019,51.773,27.5109,7,
210.011,0.941615,28.1173,16.1554,7,
196.915,0.90074,14.5893,10.8015,8,
273.286,0.886745,34.2522,20.2601,8,
254.713,0.886193,25.9933,17.6958,8,
262.871,0.944475,31.1853,18.6266,8,
269.156,0.707003,33.8973,19.8641,8,
224.094,0.910722,20.1183,14.0752,8,
280.398,0.944877,36.5558,21.1842,8,
219.135,0.899994,21.3683,13.6469,8,
235.63,0.905737,24.2701,15.7087,8,
347.677,0.835771,51.3661,27.4265,8,
257.535,0.708904,28.8214,18.217,8,
234.457,0.909478,20.8772,15.3716,8,
341.158,0.70065,47.2902,25.892,8,
259.116,0.902994,31.0134,18.6216,8,
214.999,0.891637,19.4464,13.1332,8,
331.918,0.895026,46.1339,25.4799,8,
