baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive accel,adaptive accel,adaptive accel,adaptive accel,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,
35.7363,0.428832,2200,3.93636,28.704,0.606954,441,1.34247,31.0143,0.411717,29,1.03567,18.3689,0.559755,34,0.578384,31.2803,0.617833,101,1.42763,
29.4683,0.157493,2200,4.31565,18.5635,0.0186301,441,1.27356,18.9015,0.185484,46,0.624577,17.9696,0.0711874,31,0.587542,25.4009,0.177288,191,2.27728,
35.3975,0.22581,2200,4.6564,28.7098,0.152896,441,1.71764,32.2738,0.134759,58,0.957639,17.2312,0.0632243,51,0.621544,21.5787,0.179287,251,2.85364,
35.0846,0.335942,2200,4.67815,22.7896,0.290978,441,1.39557,19.1902,0.316359,26,0.58204,19.1801,0.314949,25,0.580219,21.8924,0.389466,127,1.84188,
36.9527,0.38139,2200,4.80718,36.6516,0.282475,441,2.13407,20.295,0.342184,30,0.696878,22.7763,0.290925,33,0.58865,22.0668,0.377394,161,2.1022,
35.2161,0.267175,2200,4.59895,22.6829,0.256854,441,1.35689,23.1707,0.279621,25,0.586753,18.6413,0.16355,26,0.585254,26.2868,0.234321,209,2.43554,
64.1988,0.357461,2200,5.25748,31.4188,0.314508,441,1.90205,18.5845,0.282563,28,0.571179,23.1335,0.4378,27,0.568592,33.0978,0.452455,208,2.46664,
42.038,0.229181,2200,4.18822,22.1124,0.0918432,441,1.27003,22.0586,0.16185,26,0.63118,30.2338,0.116012,27,0.93924,24.0078,0.225778,188,1.97714,
28.0486,0.281725,2200,3.97777,19.7587,0.251599,441,1.23766,18.7982,0.268791,30,0.581035,29.0017,0.451409,53,0.639528,20.7065,0.418132,57,1.02246,
34.8302,0.483267,2200,4.52355,43.2032,0.50491,441,1.98411,23.3982,0.450497,61,0.901045,23.2805,0.459926,48,0.609499,30.649,0.503632,179,2.03801,
33.8184,0.305486,2200,4.4391,20.5927,0.303718,441,1.31971,19.5804,0.202054,29,0.705736,24.6165,0.225397,26,0.689177,32.2616,0.236556,123,3.00793,
37.5631,0.329611,2200,5.11782,21.3083,0.433937,441,1.55703,17.6325,0.448641,26,0.571123,18.4148,0.434647,41,0.597439,24.0222,0.367799,65,1.16397,
53.0177,0.309646,2200,4.16115,31.1637,0.405594,441,1.23199,16.6603,0.00224074,29,0.592946,16.4739,0.00414755,30,0.571873,15.4962,0.000593079,5,0.555574,
29.9286,0.22998,2200,4.60932,20.0045,0.283388,441,1.32769,18.4132,0.327052,34,0.588601,22.7368,0.367023,35,0.581175,28.8732,0.293293,193,2.35379,
19.6612,0,2200,4.11191,16.6147,0,441,1.24571,15.894,0,26,0.570904,15.8172,0,32,0.573586,18.7381,0.0136064,130,1.75717,
24.056,0.0029552,2200,4.13087,18.0284,0.00391464,441,1.24094,17.3726,0.00503909,25,0.575638,16.3874,0.0029427,25,0.557199,19.1922,0.00357828,163,1.88821,
33.7253,0.351806,2200,4.4523,26.8587,0.397347,441,1.28321,18.3171,0.103076,28,0.565003,31.3499,0.366388,27,0.563132,37.3339,0.504126,405,3.55719,
20.3328,0,2200,5.1988,16.8614,0,441,1.42535,15.8247,0,26,0.57549,15.5024,0,26,0.569333,19.2695,0,429,4.41437,
32.7199,0.125756,2200,4.12951,21.1356,0.418876,441,1.24859,17.993,0.117359,24,0.554002,17.9982,0.145011,24,0.542093,16.5426,0.0231636,3,0.538458,
24.8132,0.129047,2200,4.63072,21.7968,0.563505,441,1.36262,18.3427,0.425034,63,0.632581,18.4844,0.474902,50,0.61487,22.2471,0.199578,171,2.27086,
28.5678,0.191909,2200,4.34547,19.1894,0.0752592,441,1.29539,15.6981,0.00034067,26,0.552515,15.7645,0.00136498,27,0.561917,20.5463,0.0345338,24,0.760264,
28.2989,0.448612,2200,4.1661,19.5162,0.445328,441,1.26057,17.9652,0.534526,28,0.562878,18.2016,0.477839,29,0.560688,23.7654,0.479313,157,1.89273,
25.0192,0.194136,2200,4.63479,18.2533,0.19883,441,1.32678,17.5097,0.164726,30,0.56892,17.8481,0.216351,31,0.572841,27.4352,0.233253,276,2.80307,
24.6639,0.193977,2200,4.42786,19.4589,0.230311,441,1.30017,21.8146,0.200925,32,0.567224,17.3172,0.0471217,26,0.557677,22.7837,0.133252,206,2.44599,
28.4044,0.282044,2200,4.30574,19.7903,0.0798335,441,1.27958,26.6605,0.33628,32,0.58695,17.2244,0.297992,23,0.550971,23.997,0.263362,193,2.10832,
23.3378,0.0147719,2200,4.06461,31.5014,0.234199,441,1.2877,22.6754,0.182255,26,0.56601,16.1902,0.0411691,26,0.560845,21.3133,0.072652,175,1.87039,
26.9643,0.202511,2200,3.87759,24.167,0.190695,441,1.18509,21.9084,0.206656,24,0.563565,22.0381,0.432097,27,0.555111,19.1344,0.538489,43,0.912998,
34.653,0.250831,2200,4.62019,21.2017,0.0957894,441,1.33831,16.97,0.0827407,26,0.56013,17.3474,0.147606,29,0.562706,21.9017,0.258489,107,1.53494,
24.4917,0.0607214,2200,4.50805,16.4981,0,441,1.31412,15.9946,0,27,0.585505,15.4958,0,28,0.558139,20.147,0.201989,174,2.37907,
23.3979,0.0849815,2200,3.81356,26.4669,0.276884,441,1.24291,16.8563,0.0963931,26,0.554469,18.2452,0.17347,25,0.561642,24.3994,0.296978,209,2.13047,
31.0055,0.316267,2200,5.01135,16.8902,0,441,1.40382,16.9923,0.113378,43,0.618643,15.812,0,29,0.567908,18.3721,0,329,3.27067,
28.5973,0.159318,2200,4.29647,19.6454,0.179174,441,1.29284,21.6024,0.213303,28,0.567709,17.1362,0.169289,28,0.551459,22.1831,0.224443,195,2.18062,
23.8635,0.0312081,2200,4.15257,18.2373,0.0299379,441,1.23583,16.917,0.0313351,27,0.565268,16.4891,0.0254242,25,0.548072,17.3165,0.0393001,25,0.783203,
29.0108,0.0794488,2200,4.40412,20.0499,0.0937003,441,1.31604,17.2468,0.121465,23,0.558147,17.2404,0.120222,26,0.556948,21.0406,0.216674,72,1.31408,
26.9505,0.280928,2200,3.85056,23.9578,0.222063,441,1.17187,16.9587,0.303421,23,0.547731,17.9818,0.274554,24,0.551229,21.1779,0.308483,123,1.46234,
32.0076,0.159012,2200,4.12907,20.1564,0.156775,441,1.21188,17.5599,0.215765,31,0.566487,17.6784,0.231544,36,0.56886,20.3115,0.159112,118,1.55855,
51.3125,0.269018,2200,4.71137,17.9758,0.196429,441,1.27022,15.6105,0,27,0.575685,15.4978,0,26,0.553007,15.7678,0,35,0.83689,
27.3254,0.197865,2200,3.97623,20.0306,0.287006,441,1.19754,26.4376,0.559162,35,0.568336,17.344,0.239101,26,0.547012,23.6267,0.351133,201,2.08461,
36.9125,0.144801,2200,5.18474,16.6433,0,441,1.41563,15.6847,0,27,0.574239,15.6268,0,26,0.568094,18.3611,0,235,3.11618,
34.4428,0.222122,2200,4.63175,20.6924,0.173127,441,1.31423,16.5742,0.0253474,74,0.67452,15.5241,0,24,0.557978,21.1932,0.00275306,286,3.10513,
19.8155,0,2200,4.64154,36.1619,0.516824,441,1.34349,29.0028,0.467848,96,0.712025,18.1473,0.312781,25,0.563805,27.1198,0.506889,214,2.63684,
36.9352,0.235318,2200,5.15432,22.0066,0.204574,441,1.42891,15.3212,0,26,0.556257,18.4603,0.282599,68,0.677963,30.7905,0.250532,339,3.77696,
19.7242,0,2200,4.54637,16.5165,0,441,1.35838,16.3928,0.224633,71,0.641833,16.7824,0.0345188,68,0.642274,15.9308,0,29,0.886015,
23.7874,0.0526682,2200,4.13345,18.2711,0.0453466,441,1.23833,16.6418,0.0590085,27,0.567095,17.4714,0.0453893,26,0.548778,16.5788,0.0560689,13,0.623574,
45.3206,0.427572,2200,5.02275,21.4311,0.494932,441,1.38966,23.0266,0.355014,46,0.618388,23.1152,0.355868,57,0.63415,37.5587,0.506829,309,3.48038,
32.2824,0.228773,2200,4.11843,20.4928,0.134109,441,1.22826,18.2473,0.249727,28,0.570176,26.0221,0.272348,41,0.580536,20.372,0.271299,149,1.74348,
29.7842,0.0541382,2200,4.68181,20.0114,0.0504888,441,1.3339,23.1071,0.113206,26,0.572716,18.1432,0.0727181,25,0.563654,20.4393,0.0587936,102,1.57998,
34.449,0.356974,2200,4.57573,26.6221,0.3835,441,1.29832,17.6824,0.245619,27,0.559281,18.0044,0.340324,28,0.558702,23.8667,0.244831,50,1.03058,
