baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive accel,adaptive accel,adaptive accel,adaptive accel,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,
9.55288,0.627686,2200,0.717983,5.48147,0.663268,441,0.221862,4.944,0.601019,28,0.11835,4.89071,0.683054,28,0.11175,4.03726,0.586904,13,0.104901,
5.98593,0.401436,2200,0.662486,5.18343,0.441595,441,0.207006,4.73201,0.430859,25,0.100388,4.73267,0.439676,25,0.0994252,4.0599,0.395513,61,0.168819,
6.11585,0.385749,2200,0.676867,5.24641,0.471618,441,0.206971,3.86716,0.380985,24,0.106813,4.88455,0.452183,25,0.103956,4.52314,0.350729,141,0.27839,
6.10697,0.358593,2200,0.667398,4.3298,0.341073,441,0.208063,3.94799,0.332836,25,0.105598,4.84525,0.394992,25,0.10133,4.19186,0.364102,67,0.180081,
6.17643,0.261834,2200,0.67027,4.33076,0.363082,441,0.204715,4.90847,0.442152,26,0.105611,4.83017,0.357396,25,0.104873,3.9778,0.35301,58,0.165913,
6.26026,0.391469,2200,0.684224,4.17234,0.392458,441,0.202811,3.7939,0.387845,24,0.095525,4.86506,0.477352,23,0.100432,5.11078,0.442664,52,0.165155,
8.38077,0.430565,2200,0.66365,4.40083,0.407882,441,0.213278,3.78985,0.458542,25,0.0971027,3.88578,0.243779,26,0.106857,3.95807,0.35691,27,0.136862,
6.08401,0.289444,2200,0.664062,6.30559,0.302272,441,0.213002,3.85381,0.302903,25,0.0977425,3.8458,0.293059,26,0.101176,4.55176,0.254507,141,0.276077,
7.69916,0.412408,2200,0.68172,5.41071,0.476407,441,0.214631,4.85557,0.327559,27,0.103318,4.74816,0.344162,26,0.101388,4.09766,0.374253,67,0.168656,
6.20398,0.38769,2200,0.685031,4.3569,0.390564,441,0.205615,3.94451,0.348937,24,0.103223,3.81742,0.431213,25,0.102951,4.29374,0.382822,109,0.218343,
5.44981,0.0311974,2200,0.666917,5.44041,0.224702,441,0.20772,3.8358,0.313599,23,0.0987475,3.9404,0.228622,23,0.0961545,3.82132,0.418541,6,0.100433,
6.2961,0.395265,2200,0.697849,4.39983,0.35493,441,0.214125,3.92537,0.39981,24,0.105202,4.75317,0.401826,24,0.0990156,5.17627,0.52422,67,0.176751,
5.50048,0.31073,2200,0.648213,4.03577,0.303237,441,0.203451,5.65717,0.650751,27,0.103912,4.88317,0.581555,26,0.102209,5.18713,0.389233,84,0.186221,
5.4271,0.479414,2200,0.662264,4.329,0.553872,441,0.2098,3.91147,0.681876,27,0.109483,3.82738,0.669216,28,0.102861,5.40894,0.57468,115,0.223462,
6.82232,0.659386,2200,0.646265,4.2805,0.670897,441,0.209941,3.85588,0.700255,25,0.107795,3.87496,0.692435,26,0.107657,4.05108,0.712937,32,0.132335,
6.19217,0.703301,2200,0.683134,5.14578,0.728193,441,0.210996,3.85541,0.655824,24,0.097891,3.94024,0.685179,25,0.0997433,4.07044,0.656585,37,0.144169,
5.47859,0.371632,2200,0.662172,5.20223,0.407967,441,0.203903,4.05778,0.569462,27,0.111903,3.9891,0.533463,25,0.106167,4.1046,0.593898,37,0.144052,
7.74263,0.519075,2200,0.681384,4.36599,0.535616,441,0.206819,5.82412,0.657525,31,0.108966,4.95782,0.635494,30,0.104426,6.26899,0.589334,43,0.147959,
5.40751,0.00837049,2200,0.697163,4.09442,0.0332243,441,0.211522,3.76061,0.145878,26,0.0996247,3.69695,0.147477,25,0.0976127,4.90889,0.0865665,18,0.124688,
