baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive accel,adaptive accel,adaptive accel,adaptive accel,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,optTime,Cost reduction,avgNumDerivs,avgTimeDerivs,
16.377,0.37662,2200,2.43538,10.3423,0.358236,441,0.659182,8.64677,0.435231,28,0.242024,8.74985,0.407904,28,0.265381,11.7338,0.401794,221,1.27278,
14.6719,0.302297,2200,2.13302,12.6345,0.332303,441,0.605562,11.1181,0.332336,24,0.240124,10.9351,0.329095,24,0.237926,13.301,0.321841,124,0.806738,
21.3398,0.461832,2200,2.25765,13.3764,0.415827,441,0.629767,11.3966,0.412687,24,0.240822,11.3866,0.363165,24,0.244016,13.0106,0.449704,211,1.22829,
21.8285,0.300944,2200,2.24962,10.2658,0.133298,441,0.627047,8.95498,0.185921,25,0.249185,8.65576,0.126545,24,0.240172,11.4645,0.174682,176,1.14325,
22.1899,0.201527,2200,2.33321,13.4334,0.337124,441,0.646296,11.5828,0.24847,27,0.245688,11.2765,0.317492,26,0.239401,9.30968,0.0169172,90,0.750127,
17.3969,0.232535,2200,2.29985,13.4393,0.426267,441,0.646053,9.15907,0.435736,27,0.242762,9.28893,0.296384,26,0.245238,13.6096,0.386082,218,1.30923,
16.793,0.433984,2200,2.16858,9.98662,0.481545,441,0.611012,9.11385,0.532298,26,0.24124,8.80014,0.545723,25,0.235244,9.73593,0.445688,57,0.53195,
17.8274,0.252147,2200,2.38094,11.173,0.286363,441,0.676011,9.06725,0.27007,24,0.237562,8.94705,0.248727,24,0.234116,12.4184,0.330816,150,1.11127,
17.4076,0.32801,2200,2.27936,10.9198,0.283867,441,0.632421,9.14235,0.335074,23,0.239393,8.95466,0.320863,23,0.239787,12.2269,0.357435,171,1.04992,
20.7178,0.453542,2200,2.04313,10.5957,0.451949,441,0.582161,9.13787,0.359949,24,0.239273,9.16506,0.424736,25,0.243862,9.67942,0.278573,71,0.50304,
16.7211,0.375102,2200,2.13104,12.5298,0.357112,441,0.612649,10.8266,0.278522,25,0.239082,10.9648,0.3677,25,0.242307,10.6636,0.309825,84,0.649086,
17.299,0.345839,2200,2.2941,10.9478,0.350149,441,0.640223,11.6858,0.349823,24,0.245825,9.1283,0.310293,25,0.237168,12.9887,0.304313,193,1.19895,
17.048,0.310566,2200,2.19893,10.8829,0.351447,441,0.616535,9.33112,0.27795,25,0.243267,9.11933,0.345065,24,0.237252,12.0853,0.374842,183,1.00056,
