baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
37592.1,0.000235746,100,6532.54,5,11554.1,0.000446487,20.0333,1320.27,5,4825.93,0,0.133333,13.2054,5,5172.63,0,2.04203,73.7464,5,5491.48,0.000882727,1.10797,143.942,5,6156.53,0,7.47246,264.814,5,
49773.8,0.212667,100,9066.81,5,16765.7,0.249092,20.0333,2458.45,5,4284,0.294612,0.133333,49.2014,5,5743.29,0.0780997,2.63382,290.412,5,6377.78,0.226043,1.19746,400.494,5,12992.3,0.119075,12.6112,1677.4,5,
21332.1,0,100,3306.27,5,8091.51,0,20.0333,664.42,5,4601.8,0.0154168,0.133333,26.6992,5,5372.9,0.000345183,2.03333,149.519,5,5327.14,0.00177716,0.462319,80.8848,5,8480.72,0.000474914,9.99783,709.118,5,
54651.7,0.102467,100,9900.83,5,14844.2,0.0432399,20.0333,2001.38,5,4986.1,0.00491484,0.133333,38.3736,5,6659.52,0.0446557,2.21232,332.702,5,6123.4,0.458229,1.82246,378.239,5,7002.34,0,10.9362,381.611,5,
67937.4,0.231207,100,12797.9,5,17019.3,0.196986,20.0333,2587.1,5,4206.73,0.13171,0.133333,53.258,5,5512.33,0.190534,2.03949,289.2,5,5794.6,0.119218,1.3721,379.304,5,8866.01,0.31469,7.08587,986.435,5,
84557.1,0.886552,100,16161,5,19886.2,0.828411,20.0333,3261.46,5,5482,0.672703,0.133333,66.2308,6,5887.02,0.864233,2.3971,461.857,5,5926.75,0.415424,0.94029,407.881,5,13797.2,0.843473,9.31763,1597.4,6,
84857.2,0.236891,100,16035.7,5,25226.8,0.317029,20.0333,3247.93,6,4420.6,0.0156823,0.133333,26.4488,5,5731.48,0.0361462,2.03333,218.552,5,5158.15,0,1.56377,96.8334,5,15101.6,0.399596,10.7998,1807.06,6,
88302.4,0.533567,100,13924.6,6,21923,0.547395,20.0333,2819.28,6,4277.18,0.401634,0.133333,52.0004,5,7136.45,0.478873,2.11507,328.874,6,5376.56,0.538543,0.569855,241.19,5,13545,0.608069,9.79275,1416.26,6,
72107.9,0.819029,100,13486.9,5,9660.5,0,20.0333,717.548,5,5548.45,0.0154669,0.133333,29.1372,5,6774.17,0.786214,2.36522,292.631,5,6866.85,0.0362356,0.828502,261.943,5,18673.8,0.900067,13.5122,2045.89,6,
97637.6,0.867636,100,15594.1,6,16194.7,0.541133,20.0333,2523.82,5,3773.86,0.169487,0.133333,50.3404,5,4992.21,0.4835,2.04022,285.559,5,4924.41,0.397548,1.15942,303.105,5,9727.49,0.907344,7.50667,1276.55,5,
97117.8,0.784251,100,15423.8,6,19552.7,0.394362,20.0333,3101.14,5,4445.99,0,0.133333,11.9134,5,5927.55,0.451041,2.15014,375.381,5,6101.01,0.248137,1.50754,382.229,5,5559.22,0,7.07246,232.211,5,
20149.4,0,100,3080.18,5,7854.92,0,20.0333,622.465,5,4783.03,0,0.133333,11.84,5,5070.03,0,2.03478,68.2552,5,5133.44,0,1.17536,83.636,5,6169.61,0,8.7029,291.717,5,
100863,0.883604,100,16265.7,6,23027.8,0.997181,20.0333,3291.52,6,4813.55,0,0.133333,12.9702,5,7839.82,0.958512,2.76353,526.78,6,7468.13,0.994929,1.9099,644.543,6,15051,0.987977,11.2705,1957.66,6,
